0	0	a	原 夫 至 道 沖 漠 假 蹄 筌 而 後 彰 玄 致 幽 凝 藉 師 保 以 成 用
1	0	a	是 由 聖 迹 迭 興 賢 能 異 託
2	0	a	辯 忠 烈 孝 慈 以 定 君 敬 之 道 明 詩 書 禮 樂 以 成 風 俗 之 訓
3	0	a	或 忘 功 遺 事 尚 彼 虛 沖 或 體 任 榮 枯 重 茲 達 命
4	0	a	而 皆 教 但 域 中 功 存 近 益
5	0	a	斯 蓋 漸 染 之 方 未 奧 盡 其 神 性
6	0	a	至 若 能 仁 之 為 訓 也 考 業 果 幽 微 則 循 復 三 世 言 至 理 高 妙 則 貫 絕 百 靈
7	0	a	若 夫 啟 十 地 以 辯 慧 宗 顯 二 諦 以 詮 智 府
8	0	a	窮 神 盡 性 之 旨 管 一 樞 極 之 致
9	0	a	餘 教 方 之 猶 群 流 之 歸 巨 [ 堅 - 臣 + ( 虍 - 七 + ( 一 / 谷 ) ) ] 眾 星 之 共 北 辰 悠 哉 邈 矣
10	0	a	信 難 得 以 言 尚
11	0	a	至 迺 教 滿 三 千 形 遍 六 道
12	0	a	皆 所 以 接 引 幽 昏 為 大 利 益
13	0	a	而 以 淨 穢 異 聞 昇 墜 殊 見
14	0	a	故 秋 方 先 音 形 之 本 東 國 後 見 聞 之 益
15	0	a	雲 龍 表 於 夜 明 風 虎 彰 乎 宵 夢
16	0	a	鴻 風 既 扇 大 化 斯 融
17	0	a	自 爾 西 域 名 僧 往 往 而 至 或 傳 度 經 法 或 教 授 禪 道 或 以 異 迹 化 人 或 以 神 力 救 物
18	0	a	自 漢 之 梁 紀 曆 彌 遠
19	0	a	世 涉 六 代 年 將 五 百
20	0	a	此 土 桑 門 含 章 秀 起 群 英 間 出 迭 有 其 人
21	0	a	眾 家 記 錄 敘 載 各 異
22	0	a	沙 門 法 濟 偏 敘 高 逸 一 迹
23	0	a	沙 門 法 安 但 列 志 節 一 行
24	0	a	沙 門 僧 寶 止 命 遊 方 一 科
25	0	a	沙 門 法 進 迺 通 撰 傳 論
26	0	a	而 辭 事 闕 略 並 皆 互 有 繁 簡 出 沒 成 異
27	0	a	考 之 行 事 未 見 其 歸
28	0	a	宋 臨 川 康 王 義 慶 宣 驗 記 及 幽 明 錄 大 原 王 琰 冥 祥 記 彭 城 劉 俊 益 部 寺 記 沙 門 曇 宗 京 師 寺 記 太 原 王 延 秀 感 應 傳 朱 君 台 徵 應 傳 陶 淵 明 神 錄 並 傍 出 諸 僧 敘 其 風 素 而 皆 是 附 見 亟 多 疎 闕
29	0	a	齊 竟 陵 文 宣 王 三 寶 記 傳 或 稱 佛 史 或 號 僧 錄 既 三 寶 共 敘 辭 旨 相 關 混 濫 難 求 更 為 蕪 昧
30	0	a	瑯 瑘 王 巾 所 撰 僧 史 意 似 該 綜 而 文 體 未 足
31	0	a	沙 門 僧 祐 撰 三 藏 記
32	0	a	止 有 三 十 餘 僧 所 無 甚 眾
33	0	a	中 書 郎 郄 景 興 東 山 僧 傳 治 中 張 孝 秀 廬 山 僧 傳 中 書 陸 明 霞 沙 門 傳 各 競 舉 一 方 不 通 今 古 務 存 一 善 不 及 餘 行
34	0	a	逮 乎 即 時 亦 繼 有 作 者
35	0	a	然 或 褒 贊 之 下 過 相 揄 揚 或 敘 事 之 中 空 列 辭 費
36	0	a	求 之 實 理 無 的 可 稱
37	0	a	或 復 嫌 以 繁 廣 刪 減 其 事 而 抗 迹 之 奇 多 所 遺 削 謂 出 家 之 士 處 國 賓 王 不 應 勵 然 自 遠 高 蹈 獨 絕
38	0	a	尋 辭 榮 棄 愛 本 以 異 俗 為 賢
39	0	a	若 此 而 不 論 竟 何 所 紀
40	0	a	嘗 以 暇 日 遇 覽 群 作
41	0	a	輒 搜 撿 雜 錄 數 十 餘 家 及 晉 宋 齊 梁 春 秋 書 史 秦 趙 燕 涼 荒 朝 偽 曆 地 理 雜 篇 孤 文 片 記
42	0	a	并 博 諮 古 老 廣 訪 先 達 校 其 有 無 取 其 同 異
43	0	a	始 于 漢 明 帝 永 平 十 年 終 至 梁 天 監 十 八 年 凡 四 百 五 十 三 載 二 百 五 十 七 人 又 傍 出 附 見 者 二 百 餘 人
44	0	a	開 其 德 業 大 為 十 例 ： 一 曰 譯 經 二 曰 義 解 三 曰 神 異 四 曰 習 禪 五 曰 明 律 六 曰 遺 身 七 曰 誦 經 八 曰 興 福 九 曰 經 師 十 曰 唱 導
45	0	a	然 法 流 東 土 蓋 由 傳 譯 之 勳
46	0	a	或 踰 越 沙 險 或 泛 漾 洪 波 皆 忘 形 殉 道 委 命 弘 法
47	0	a	震 旦 開 明 一 焉 是 賴
48	0	a	茲 德 可 崇 故 列 之 篇 首
